token_count,approximate_input_length,needle_depth,question,answer,output,llm_judge_output
100,500,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,70,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,80,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,90,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,500,100,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,1000,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,1000,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,1000,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,1000,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,1000,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,1000,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
100,1000,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)","ERROR_REQUEST: 404 Not Found - model 'qwen3:8b' not found (local models: deepseek-r1:1.5b, qwen3:0.6b, qwen2:7b, gemma3:latest, gemma3:27b, deepseek-r1:32b, deepseek-r1:7b)"
