token_count,approximate_input_length,needle_depth,question,answer,output,llm_judge_output
100,500,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,500,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details",ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,500,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details"
100,500,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,500,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process has terminated: signal: killed
100,500,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,500,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details",ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,500,70,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process has terminated: signal: killed,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details"
100,500,80,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,500,90,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,500,100,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details","ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details"
100,1000,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process has terminated: signal: killed
100,1000,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,1000,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details",ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,1000,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details"
100,1000,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,1000,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process has terminated: signal: killed,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,1000,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,1000,70,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,1000,80,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details"
100,1000,90,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,1000,100,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details",ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,5000,0,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details",ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,5000,10,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details"
100,5000,20,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,5000,30,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,5000,40,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,5000,50,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,"ERROR_REQUEST: 500 Internal Server Error - model runner has unexpectedly stopped, this may be due to resource limitations or an internal error, check ollama server logs for details",ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
100,5000,60,台灣最高的建築物是什麼？高度是多少？,台北101是台灣最高的建築物，高度達到508公尺。,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 ,ERROR_REQUEST: 500 Internal Server Error - llama runner process no longer running: -1 
